"interaction","MI","name","pvalue","selected","shared interaction","shared name","weight"
"interacts with","1.0116677575485091","AT5G43840 (interacts with) AT1G57560","0.011146959859842265","false","interacts with","AT5G43840 (interacts with) AT1G57560","0.0252381738589039"
"interacts with","0.996416383956728","AT5G43840 (interacts with) AT4G10500","0.04457606078365506","false","interacts with","AT5G43840 (interacts with) AT4G10500","0.0359762241242603"
"interacts with","1.0503097013025295","AT5G01900 (interacts with) AT4G10500","0.04457606078365506","false","interacts with","AT5G01900 (interacts with) AT4G10500","0.0174958319279349"
"interacts with","1.2099041094174394","AT5G01900 (interacts with) AT2G44380","0.011146959859842265","false","interacts with","AT5G01900 (interacts with) AT2G44380","0.0196639048639403"
"interacts with","1.0334929392527286","AT5G01900 (interacts with) AT5G26690","0.04457606078365506","false","interacts with","AT5G01900 (interacts with) AT5G26690","0.0404798037798548"
"interacts with","1.0663970084925836","AT5G01900 (interacts with) AT2G14560","0.04457606078365506","false","interacts with","AT5G01900 (interacts with) AT2G14560","0.0191321232224506"
"interacts with","0.9927562491171461","AT1G68320 (interacts with) AT2G44130","0.04457606078365506","false","interacts with","AT1G68320 (interacts with) AT2G44130","0.0219608892082283"
"interacts with","0.9940927625952323","AT3G44290 (interacts with) AT2G39040","0.011146959859842265","false","interacts with","AT3G44290 (interacts with) AT2G39040","0.0363802051056762"
"interacts with","0.9344700674187294","AT2G21320 (interacts with) AT5G37260","0.04457606078365506","false","interacts with","AT2G21320 (interacts with) AT5G37260","0.0266793782441088"
"interacts with","0.9811380354777416","AT2G21320 (interacts with) AT5G02390","0.011146959859842265","false","interacts with","AT2G21320 (interacts with) AT5G02390","0.0230464749944377"
"interacts with","0.9549259996242677","AT2G21320 (interacts with) AT3G06100","0.04457606078365506","false","interacts with","AT2G21320 (interacts with) AT3G06100","0.0168584105132027"
"interacts with","1.0042193891210323","AT5G43650 (interacts with) AT3G44400","0.04457606078365506","false","interacts with","AT5G43650 (interacts with) AT3G44400","0.0182423694875522"
"interacts with","1.0601020982575122","AT5G43650 (interacts with) AT1G05100","0.04457606078365506","false","interacts with","AT5G43650 (interacts with) AT1G05100","0.0218761824122827"
"interacts with","1.0116677575485091","AT5G46830 (interacts with) AT3G27270","0.011146959859842265","false","interacts with","AT5G46830 (interacts with) AT3G27270","0.0253537635047111"
"interacts with","1.0347861623274377","AT5G46830 (interacts with) AT3G50280","0.011146959859842265","false","interacts with","AT5G46830 (interacts with) AT3G50280","0.0219231000853889"
"interacts with","1.1237779546078572","AT5G46830 (interacts with) AT2G30210","0.011146959859842265","false","interacts with","AT5G46830 (interacts with) AT2G30210","0.0196635165341617"
"interacts with","1.048057772124505","AT5G46830 (interacts with) AT1G66350","1.294688385611309E-6","false","interacts with","AT5G46830 (interacts with) AT1G66350","0.0180745293935831"
"interacts with","1.0166587476575542","AT5G46830 (interacts with) AT1G61255","0.011146959859842265","false","interacts with","AT5G46830 (interacts with) AT1G61255","0.0181355914750682"
