"node_Y","node_X","interaction","MI","pvalue","selected","shared.interaction","shared.name","weight","TF_X","TF_Y","TF"
"AT1G01060","AT4G00050","interacts with",1.0365800493888,6.94234322222709e-05,"false","interacts with","AT4G00050 (interacts with) AT1G01060",0.0253214264558591,"bHLH","MYB_related","bHLH_MYB_related"
"AT1G01060","AT1G51140","interacts with",1.0199963361371,1.29468838561131e-06,"false","interacts with","AT1G51140 (interacts with) AT1G01060",0.0395632915882796,"bHLH","MYB_related","bHLH_MYB_related"
"AT1G01060","AT2G20880","interacts with",0.96082811359445,0.0445760607836551,"false","interacts with","AT2G20880 (interacts with) AT1G01060",0.0190417508954829,"ERF","MYB_related","ERF_MYB_related"
"AT1G01060","AT2G02080","interacts with",1.04908780164538,6.94234322222709e-05,"false","interacts with","AT2G02080 (interacts with) AT1G01060",0.0176774972416343,"C2H2","MYB_related","C2H2_MYB_related"
"AT1G01180","AT2G02080","interacts with",1.11715286577635,1.55515045285881e-10,"false","interacts with","AT2G02080 (interacts with) AT1G01180",0.0213258523326368,"C2H2",NA,"C2H2_NA"
"AT1G01180","AT5G61590","interacts with",1.04793217219551,0,"false","interacts with","AT5G61590 (interacts with) AT1G01180",0.0200021229518062,"ERF",NA,"ERF_NA"
"AT1G01180","AT1G01250","interacts with",1.06486207043519,1.66158947711992e-08,"false","interacts with","AT1G01250 (interacts with) AT1G01180",0.0252850788487809,"ERF",NA,"ERF_NA"
"AT1G01180","AT3G47620","interacts with",1.10719728847394,0,"false","interacts with","AT3G47620 (interacts with) AT1G01180",0.0175460306079573,"TCP",NA,"TCP_NA"
"AT1G01180","AT1G68520","interacts with",1.10762622235067,0,"false","interacts with","AT1G68520 (interacts with) AT1G01180",0.0219119259880019,"CO-like",NA,"CO-like_NA"
"AT1G01180","AT3G58120","interacts with",1.07002669560671,1.55515045285881e-10,"false","interacts with","AT3G58120 (interacts with) AT1G01180",0.0242575000836342,"bZIP",NA,"bZIP_NA"
"AT1G01180","AT3G47600","interacts with",1.10028900329615,1.66158947711992e-08,"false","interacts with","AT3G47600 (interacts with) AT1G01180",0.0252913272829778,"MYB",NA,"MYB_NA"
"AT1G01180","AT2G25900","interacts with",1.03765179979828,1.53060718210973e-07,"false","interacts with","AT2G25900 (interacts with) AT1G01180",0.0203007324217155,"C3H",NA,"C3H_NA"
"AT1G01250","AT3G16280","interacts with",1.02584089079661,1.29468838561131e-06,"false","interacts with","AT3G16280 (interacts with) AT1G01250",0.0200064188163656,"ERF","ERF","ERF_ERF"
"AT1G01250","AT5G10280","interacts with",1.10080831035931,0,"false","interacts with","AT5G10280 (interacts with) AT1G01250",0.0242418235467634,"MYB","ERF","MYB_ERF"
"AT1G01390","AT2G42300","interacts with",1.06961919381775,1.10766951166852e-12,"false","interacts with","AT2G42300 (interacts with) AT1G01390",0.0195040710363695,"bHLH",NA,"bHLH_NA"
"AT1G01390","AT5G07580","interacts with",1.03765179979828,0.0111469598598423,"false","interacts with","AT5G07580 (interacts with) AT1G01390",0.0183308291575848,"ERF",NA,"ERF_NA"
"AT1G01430","AT3G29035","interacts with",1.02089390897019,9.9782766301848e-06,"false","interacts with","AT3G29035 (interacts with) AT1G01430",0.0187730050710321,"NAC",NA,"NAC_NA"
"AT1G01430","AT3G07340","interacts with",1.03765179979828,9.9782766301848e-06,"false","interacts with","AT3G07340 (interacts with) AT1G01430",0.017241688294797,"bHLH",NA,"bHLH_NA"
"AT1G01430","AT2G02080","interacts with",1.08273997112437,0,"false","interacts with","AT2G02080 (interacts with) AT1G01430",0.0190833735418162,"C2H2",NA,"C2H2_NA"
"AT1G01720","AT3G10800","interacts with",1.02879192318908,1.55515045285881e-10,"false","interacts with","AT3G10800 (interacts with) AT1G01720",0.0177801435142166,"bZIP","NAC","bZIP_NAC"
"AT1G01940","AT5G05410","interacts with",1.10504194518952,0,"false","interacts with","AT5G05410 (interacts with) AT1G01940",0.0206614724752779,"ERF",NA,"ERF_NA"
"AT1G01940","AT2G24680","interacts with",1.07672618642225,0,"false","interacts with","AT2G24680 (interacts with) AT1G01940",0.0189841927406554,"B3",NA,"B3_NA"
"AT1G02030","AT3G16280","interacts with",1.03848756047763,0.0445760607836551,"false","interacts with","AT3G16280 (interacts with) AT1G02030",0.0252510106621035,"ERF","C2H2","ERF_C2H2"
"AT1G02090","AT5G05410","interacts with",1.12797959905915,0,"false","interacts with","AT5G05410 (interacts with) AT1G02090",0.0179354394145447,"ERF",NA,"ERF_NA"
"AT1G02090","AT5G04410","interacts with",1.14867855987521,0,"false","interacts with","AT5G04410 (interacts with) AT1G02090",0.0204455601026716,"NAC",NA,"NAC_NA"
"AT1G02090","AT2G24680","interacts with",1.09036132867213,0,"false","interacts with","AT2G24680 (interacts with) AT1G02090",0.0239624181364756,"B3",NA,"B3_NA"
"AT1G02090","AT5G67300","interacts with",1.05403224432105,1.35503830378525e-11,"false","interacts with","AT5G67300 (interacts with) AT1G02090",0.0198299575319199,"MYB",NA,"MYB_NA"
"AT1G02090","AT4G11660","interacts with",1.07435636326599,0,"false","interacts with","AT4G11660 (interacts with) AT1G02090",0.0193628831087335,"HSF",NA,"HSF_NA"
"AT1G02090","AT3G51910","interacts with",1.0901963249329,0,"false","interacts with","AT3G51910 (interacts with) AT1G02090",0.0201103858782459,"HSF",NA,"HSF_NA"
"AT1G02090","AT1G27730","interacts with",1.07594462881379,0,"false","interacts with","AT1G27730 (interacts with) AT1G02090",0.0189832476088476,"C2H2",NA,"C2H2_NA"
"AT1G02090","AT4G01550","interacts with",1.0914721447751,0,"false","interacts with","AT4G01550 (interacts with) AT1G02090",0.0204136719719228,"NAC",NA,"NAC_NA"
"AT1G02090","AT2G26150","interacts with",1.09966263126118,0,"false","interacts with","AT2G26150 (interacts with) AT1G02090",0.0224033835417625,"HSF",NA,"HSF_NA"
"AT1G02090","AT4G00940","interacts with",1.11887995494695,0,"false","interacts with","AT4G00940 (interacts with) AT1G02090",0.0210590987357812,"Dof",NA,"Dof_NA"
"AT1G02405","AT3G58120","interacts with",1.05921070631901,0.0111469598598423,"false","interacts with","AT3G58120 (interacts with) AT1G02405",0.0272658500185669,"bZIP",NA,"bZIP_NA"
"AT1G02460","AT2G35700","interacts with",1.03765179979828,0.0445760607836551,"false","interacts with","AT2G35700 (interacts with) AT1G02460",0.0183596930288202,"ERF",NA,"ERF_NA"
"AT1G02460","AT1G17460","interacts with",1.01353273557351,1.29468838561131e-06,"false","interacts with","AT1G17460 (interacts with) AT1G02460",0.0192545400955274,"MYB_related",NA,"MYB_related_NA"
"AT1G02510","AT4G25470","interacts with",1.03765179979828,0.0111469598598423,"false","interacts with","AT4G25470 (interacts with) AT1G02510",0.0242974137712515,"ERF",NA,"ERF_NA"
"AT1G02510","AT2G26150","interacts with",1.03765179979828,0.0445760607836551,"false","interacts with","AT2G26150 (interacts with) AT1G02510",0.017228232974588,"HSF",NA,"HSF_NA"
"AT1G02510","AT4G28140","interacts with",1.03765179979828,0.0111469598598423,"false","interacts with","AT4G28140 (interacts with) AT1G02510",0.0217487489713514,"ERF",NA,"ERF_NA"
"AT1G02610","AT4G29190","interacts with",1.02406912870915,0.00235714038932522,"false","interacts with","AT4G29190 (interacts with) AT1G02610",0.0296652895475724,"C3H",NA,"C3H_NA"
"AT1G02610","AT2G35640","interacts with",1.12377795460786,0.0111469598598423,"false","interacts with","AT2G35640 (interacts with) AT1G02610",0.0252424852570461,"Trihelix",NA,"Trihelix_NA"
"AT1G02610","AT1G14600","interacts with",1.0181661788988,0.0111469598598423,"false","interacts with","AT1G14600 (interacts with) AT1G02610",0.0272042688274076,"G2-like",NA,"G2-like_NA"
"AT1G02610","AT1G01250","interacts with",1.05954804648873,9.9782766301848e-06,"false","interacts with","AT1G01250 (interacts with) AT1G02610",0.0260698751742548,"ERF",NA,"ERF_NA"
"AT1G02660","AT4G17230","interacts with",1.06549431388063,0,"false","interacts with","AT4G17230 (interacts with) AT1G02660",0.0223576325336939,"GRAS",NA,"GRAS_NA"
"AT1G02660","AT3G51910","interacts with",1.00555391139351,0.0445760607836551,"false","interacts with","AT3G51910 (interacts with) AT1G02660",0.021732903655421,"HSF",NA,"HSF_NA"
"AT1G02820","AT1G51140","interacts with",1.06061877441416,1.10766951166852e-12,"false","interacts with","AT1G51140 (interacts with) AT1G02820",0.0294137855750375,"bHLH",NA,"bHLH_NA"
"AT1G02820","AT2G35700","interacts with",1.07761126917277,1.53060718210973e-07,"false","interacts with","AT2G35700 (interacts with) AT1G02820",0.0191988669712316,"ERF",NA,"ERF_NA"
"AT1G02820","AT3G47600","interacts with",1.03765179979828,0.0445760607836551,"false","interacts with","AT3G47600 (interacts with) AT1G02820",0.0188207415159639,"MYB",NA,"MYB_NA"
"AT1G02820","AT1G01060","interacts with",1.01166775754851,0.0111469598598423,"false","interacts with","AT1G01060 (interacts with) AT1G02820",0.0174465992339791,"MYB_related",NA,"MYB_related_NA"
"AT1G02820","AT3G07340","interacts with",1.01242418287966,0.000431150653107837,"false","interacts with","AT3G07340 (interacts with) AT1G02820",0.0186159659471432,"bHLH",NA,"bHLH_NA"
"AT1G02820","AT4G00050","interacts with",1.09277253887641,0,"false","interacts with","AT4G00050 (interacts with) AT1G02820",0.040284652911747,"bHLH",NA,"bHLH_NA"
"AT1G02820","AT1G76890","interacts with",1.03095780096588,0,"false","interacts with","AT1G76890 (interacts with) AT1G02820",0.0301518929575547,"Trihelix",NA,"Trihelix_NA"
