gene	cluster	Family	Short_description
AT1G01720	UU	NAC	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G01830	UU	NA	NA
AT1G01940	UU	NA	NA
AT1G02090	UU	NA	NA
AT1G02290	UU	NA	NA
AT1G02460	UU	NA	NA
AT1G02510	UU	NA	NA
AT1G02660	UU	NA	NA
AT1G02700	UU	NA	NA
AT1G02920	UU	NA	NA
AT1G02980	UU	NA	NA
AT1G03070	UU	NA	NA
AT1G03170	UU	NA	NA
AT1G03180	UU	NA	NA
AT1G03860	UU	NA	NA
AT1G03970	UU	bZIP	G-box binding factor 4
AT1G03980	UU	NA	NA
AT1G04010	UU	NA	NA
AT1G04130	UU	NA	NA
AT1G04180	UU	NA	NA
AT1G04570	UU	NA	NA
AT1G04980	UU	NA	NA
AT1G05100	UU	NA	NA
AT1G05170	UU	NA	NA
AT1G05330	UU	NA	NA
AT1G05340	UU	NA	NA
AT1G05575	UU	NA	NA
AT1G05700	UU	NA	NA
AT1G06030	UU	NA	NA
AT1G07135	UU	NA	NA
AT1G07160	UU	NA	NA
AT1G07330	UU	NA	NA
AT1G07350	UU	NA	NA
AT1G07400	UU	NA	NA
AT1G07410	UU	NA	NA
AT1G07500	UU	NA	NA
AT1G07670	UU	NA	NA
AT1G07890	UU	NA	NA
AT1G08460	UU	NA	NA
AT1G08570	UU	NA	NA
AT1G08930	UU	NA	NA
AT1G09070	UU	NA	NA
AT1G09080	UU	NA	NA
AT1G09140	UU	NA	NA
AT1G09210	UU	NA	NA
AT1G09860	UU	NA	NA
AT1G09930	UU	NA	NA
AT1G10040	UU	NA	NA
AT1G10050	UU	NA	NA
AT1G10220	UU	NA	NA
AT1G10230	UU	NA	NA
AT1G10340	UU	NA	NA
AT1G10960	UU	NA	NA
AT1G10970	UU	NA	NA
AT1G11100	UU	NA	NA
AT1G11270	UU	NA	NA
AT1G11660	UU	NA	NA
AT1G11880	UU	NA	NA
AT1G11960	UU	NA	NA
AT1G12060	UU	NA	NA
AT1G12064	UU	NA	NA
AT1G12650	UU	NA	NA
AT1G12710	UU	NA	NA
AT1G12740	UU	NA	NA
AT1G13080	UU	NA	NA
AT1G13195	UU	NA	NA
AT1G13330	UU	NA	NA
AT1G13340	UU	NA	NA
AT1G13360	UU	NA	NA
